@relation 'ABBREV-weka.filters.unsupervised.attribute.NominalToBinary-R53-weka.filters.unsupervised.attribute.OrdinalToNumeric-R51-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R9-precision6-weka.filters.unsupervised.attribute.Remove-R1-5,8-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R1'

@attribute Protein_(g) numeric

@data
0.009624
0.005548
0.00317
0.242301
0.263134
0.234941
0.224185
0.2851
0.258945
0.264606
0.269022
0.125906
0.121037
0.117074
0.11832
0.140285
0.069633
0.282948
0.160892
0.289855
0.109262
0.282382
0.337523
0.227015
0.277174
0.251019
0.244565
0.274683
0.268909
0.265059
0.103601
0.321784
0.404778
0.269248
0.289629
0.127491
0.128963
0.360054
0.243886
0.305254
0.276381
0.205276
0.250566
0.280005
0.2226
0.190897
0.248188
0.185802
0.035439
0.033514
0.02457
0.032156
0.036232
0.033288
0.027627
0.051517
0.036798
0.037704
0.037704
0.238338
0.011322
0.011322
0.02808
0.05548
0.040874
0.011096
0.014153
0.027174
0.019814
0.035666
0.037138
0.037364
0.039402
0.044724
0.038157
0.039402
0.044497
0.038157
0.040421
0.044837
0.037477
0.0351
0.298007
0.40942
0.397418
0.401947
0.388361
0.089561
0.077106
0.085485
0.035892
0.033854
0.039176
0.039855
0.040308
0.011662
0.042459
0.067708
0.034534
0.043705
0.008605
0.132813
0.009624
0.146399
0.039289
0.059443
0.064878
0.05582
0.045063
0.049479
0.055027
0.14221
0.123415
0.179574
0.175838
0.157043
0.154099
0.142437
0.119678
0.141644
0.113111
0.544044
0.545403
0.870924
0.932971
0.380774
0.145041
0.157043
0.147758
0.154891
0.628397
0.009624
0.428668
0.038157
0.044724
0.077106
0.40942
0.397418
0.345562
0.244339
0.209692
0.159307
0.129869
0.116961
0.242754
0.255888
0.244112
0.275702
0.275702
0.139606
0.115489
0.918252
0.037364
0.038157
0.079257
0.039629
0.0351
0.307971
0.043705
0.452899
0.177649
0.039968
0.13587
0.184556
0.25702
0.184556
0.22192
0.050951
0.053216
0.029438
0.033967
0.033854
0.055027
0.226449
0.007813
0.007699
0.279665
0.279552
0.40308
0.035666
0.298007
0.077106
0.199275
0.045063
0.049479
0.049819
0.055027
0.05582
0.043705
0.039968
0.51755
0.566123
0.077446
0.113225
0.277514
0.204823
0.230752
0.036345
0.05582
0.049819
0.046422
0.046422
0.048573
0.041893
0.05899
0.048573
0.064651
0.049932
0.049932
0.049819
0.266531
0.182178
0.205276
0.190897
0.124207
0.115376
0.951993
0.151834
0.309669
0.038043
0.02389
0.363904
0.321558
0.226449
0.27457
0.26755
0.102695
0.09341
0.091938
0.090919
0.090919
0.092505
0.091146
0.097826
0.112659
0.042912
0.038383
0.075521
0.038383
0.101902
0.082994
0.033288
0.097826
0.09058
0.063632
0.033967
0.017437
0.037704
0.038836
0.060349
0.068954
0.199275
0.26019
0.086164
0.223845
0.12183
0.204597
0.262681
0.1524
0.045177
0.067595
0.248302
0.140059
0.201653
0.161798
0.180933
0.225996
0.178895
0.260417
0.187387
0.101676
0.075974
0.143342
0.29529
0.066123
0.117867
0.101902
0.1601
0.301517
0.11764
0.135983
0.117754
0.203691
0.108582
0.065217
0.055254
0.129416
0.120358
0.0762
0.257813
0.103148
0.109601
0.035666
0.039176
0.042346
0
0
0.062953
0.000679
0.000566
0.00034
0
0.026721
0.013361
0.037477
0.042459
0.037251
0.225657
0.000453
0.005548
0
0
0.050951
0.122509
0.06284
0
0.136209
0.136209
0.148551
0.158514
0.127944
0.127944
0.159307
0.172101
0.155118
0.158514
0.165308
0.130208
0.130208
0.155118
0.009284
0.151721
0.012455
0.070086
0
0.005322
0.00351
0.022645
0.023777
0.047554
0.026721
0.028306
0.040761
0.027627
0.039629
0.056612
0.029099
0.060009
0.057745
0.025023
0.025023
0.022985
0.021739
0.024796
0.022871
0.022645
0.023777
0.030457
0.026834
0.018116
0.058877
0.027966
0.022645
0.019248
0.019248
0.013587
0.02038
0.025702
0.026834
